,Strain,Type,Percent Indica,Percent Sativa,THC Percent,Description 1,Description 2,Generated Description,Flavor,Effects,Rating,labs,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
0,sugar-cane,hybrid,0.4,0.6,0.2,Sugar Cane is a rare slightly sativa dominant hybrid strain (60% sativa/40% indica) created through crossing the classic Platinum X,,,Earthy Sweet Candy Grape Spicy Fruity Herbal Pungent,Body High Cerebral Creative Energizing Relaxing Uplifting Body High Cerebral Creative Energizing Relaxing Uplifting,,suga-cane,,,,,,,,0.0,,,,,0.0,,0.0,,1.39,0.0,,0.44,0.07,,0.0,0.0,,,27.15,0.5,,,,,0.09,0.13,,,0.66,,0.02,,1.0,0.0,0.0
1,chemdawg,hybrid,0.55,0.45,0.19,"With a near-even balance between sativa and indica (sativa/indica ratio of 45/55), Chemdawg, also known as Chemdog, delivers on both fronts. A clear cerebral high drives creativity while a stony, sleepy body high fights insomnia and relaxes the muscles. This strain has THC levels up to 19%, meaning it's more potent than most. It has a powerful spicy, plant-like taste and smell with a hint of diesel; the aroma alone can alert snoopy neighbors to even a carefully concealed pot grow. Not surprisingly, Chemdawg is used to produce Sour Diesel, one of the world's most popular strains. Little is known about Chemdawg's history or genetics, though there are urban legends involving a Grateful Dead concert, a handful of seeds, and a grower named Chemdog. Best for anxiety and pain, this strain is also helpful with depression and ADHD, as well as migraines, arthritis, and PMS. Dry mouth and dry eyes are possible when using this strain, while other side effects are less likely. Chemdawg is most popular on the West Coast, in Nevada, and in Colorado. It's possible to find on the black market but doesn't come around very often.","Chemdawg has developed quite the name for itself over the years. Between its mysterious origin, ambiguous genetics, and the plethora of successful crosses the strain has produced, Chemdawg has practically secured itself a permanent place in the cannabis hall of fame. The original source of powerhouse strains like Sour Diesel and OG Kush, Chemdawg is known for its distinct, diesel-like aroma. Pungent and sharp, you’ll be able to smell this hybrid from a mile away. Cannabis newbies be warned: Chemdawg tends to be very potent. Depending on grow conditions, this strain tends to have THC levels of 15-20%. Consumers can expect to have a very cerebral experience, coupled with a strong heavy-bodied feeling.  ",,Earthy Pungent Chemical Diesel Pine Diesel Earthy Pungent,"Cerebral Creative Euphoria Happy Relaxing Cerebral Creative Euphoria Happy Relaxing Relaxed,Happy,Euphoric,Uplifted,Creative",4.3,chemdawg,,,,,,,,0.2423076923076923,,,,,1.3232142857142857,0.0,0.017142857142857144,,1.2695,0.36321428571428577,,0.5702142857142858,0.318,,0.02521428571428572,0.4455714285714286,,,19.409473684210532,1.138421052631579,,,,0.06999999999999999,0.11642857142857145,0.13785714285714287,,,0.5618749999999999,0.315,0.069,,19.0,0.0,0.0
2,jack-herer,sativa,,,0.23,"Jack Herer is easily one of the best-known strains in America. Originating in California, this sativa honors the memory of Jack Herer the man, a longtime local cannabis activist and medical marijuana user. It's not quite as strong as its popularity might suggest, but the high is heady and distinctive. Jack Herer has a unique loamy smell and taste with hints of pine and trees. The sativa high is happy, bubbly, and euphoric, spurring energy and creativity. Jack Herer is ideal for errands and other daytime activities. This strain is effective for patients with mental or neurological disorders, including bipolar disorder, anxiety, migraines, PTSD, and ADHD. Dry mouth and red eyes are common, along with occasional dizziness and paranoia. Jack Herer is popular throughout the United States, but, like many other strains, it's most popular in the West.","Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both the cerebral elevation associated with sativas and the heavy resin production of indicas. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, the spicy, pine-scented sativa has taken home numerous awards for its quality and potency. Many breeders have attempted to cultivate this staple strain themselves in sunny or Mediterranean climates, and indoor growers should wait 50 to 70 days for Jack Herer to flower.",,Earthy Sweet Spicy Herbal Lemon Pine Woody Earthy Pine Woody,"Body High Cerebral Creative Euphoria Happy Body High Cerebral Creative Euphoria Happy Happy,Uplifted,Energetic,Focused,Euphoric",4.4,jack-herer,,,0.0,0.0,,0.023000000000000003,0.0033333333333333327,0.19321518987341774,0.005333333333333333,0.0,0.02066666666666667,0.0013333333333333333,1.207493975903615,0.05042857142857144,0.2346265060240964,0.01533333333333333,0.4140240963855423,0.1823734939759037,0.018666666666666658,0.4635542168674697,0.3744939759036144,0.05,0.007662650602409639,0.4616626506024096,0.01533333333333333,0.01,16.244122807017554,0.8536521739130436,0.08777777777777779,16.53,0.02333333333333333,0.08200000000000003,0.10430000000000003,0.1146835443037974,0.0,0.0,0.6787499999999999,0.2838235294117648,0.046666666666666655,13.0,114.0,1.0,2.0
3,green-dream,hybrid,0.5,0.5,0.235,"A sativa dominant hybrid, Green Dream is a cross between Blue Dream and Green Crack. It is termed as Green Dream due to its taste which is kind of like green tea and also because it has been formed out of Blue Dream that is one of the most prevalent strains available. The buds of Green Dream smell sour and fruity. It's got light orange hairs but a good quality bud will mostly be covered in crystals. The smell that is produced when a person is smoking this is similar to the taste they experience at the back of their throat. The effect this strain produces on a patient is that it provides them with child-like feeling towards life. With an insanely high THC level of 24 percent, Green Dream instills in a person an out of body sensation. This hybrid is predominantly used for stress but is also helpful for depression. It contains a number of great effects. This strain is effective for stress, chronic fatigue and when a person needs to get things done quickly. Furthermore, Green Dream stimulates cerebral effects such as increasing your imagination and creativity. A good smoke that can be utilized anytime, unlike heavy Indica it does not knock out a person.",Green Dream is a sativa-dominant hybrid cross of Green Crack and Blue Dream.  ,,Earthy Citrus Blueberry Sweet Fruity Skunky Pine Woody Earthy Citrus Flowery,"Creative Energizing Euphoria Happy Sociable Uplifting Creative Energizing Euphoria Happy Sociable Uplifting Happy,Uplifted,Creative,Euphoric,Hungry",4.4,green-dream,,,,,,0.0,0.0,0.15,0.0,0.0,0.019,0.0,1.7999999999999998,0.0,0.0,0.0,0.20333333333333334,0.648,0.0,0.38633333333333336,0.4996666666666667,,0.03266666666666667,0.014333333333333332,0.0,0.0,13.442000000000002,0.402,0.0,16.89,0.0,0.0,0.09666666666666666,0.06333333333333334,0.0,0.0,0.2,0.1225,0.016666666666666666,,5.0,0.0,1.0
4,lemon-skunk,hybrid,0.4,0.6,0.185,"With THC levels that reach 22% in some tests, this is a very potent sativa-heavy hybrid. Lemon Skunk, which has a sativa/indica ratio of 60:40, is the award-winning descendant of two distinct Skunk phenotypes that were selected specifically for their tangy lemon traits. The aroma is Skunky and sweet while the flavor is reminiscent of sweet lemons and other citrus fruit. Lemon Skunk delivers a heady, peppy cerebral high that comes with a boost of energy and creativity, a dose of happiness, and a euphoric kick. It's an uplifting yet lazy experience. The sativa genes offer effective treatment for depression, nausea, chronic pain, and everyday stresses. CBD levels are a bit higher than average in this strain, roughly 0.5% in some tests, but not high enough to recommend it as treatment for conditions that respond to CBD, such as epilepsy. Dry mouth and watery eyes are the only widely reported negative effects of Lemon Skunk, though paranoia, anxiety, and dizziness are also possible. Found up and down the West Coast, this strain is also popular in Colorado. It occasionally circulates on the black market, as well.","Lemon Skunk was conceived from two separate Skunk phenotypes that displayed exceptionally zesty lemon traits. The skunky, citrus flavor draws you in immediately, and the happy, energetic buzz will shake you out of any funk. DNA Genetics has developed Lemon Skunk as great strain for combating depression and stress.",,Earthy Citrus Sweet Sour Lemon Skunky Pungent Tangy Lemon Skunk Citrus,"Energizing Euphoria Giggly Happy Sociable Uplifting Energizing Euphoria Giggly Happy Sociable Uplifting Happy,Uplifted,Relaxed,Euphoric,Focused",4.3,lemon-skunk,,,0.0,0.0,,0.0,0.0,0.20255813953488366,0.0,0.0005,0.0,0.0,1.3886976744186044,0.0,0.20604651162790694,0.014500000000000002,0.5883255813953489,0.12272093023255813,0.005,0.7875813953488372,0.208906976744186,0.22,0.004883720930232561,0.6311627906976744,0.0025,0.0,17.299999999999994,1.5878571428571415,0.15166666666666667,22.935,0.02,0.10000000000000002,0.11489361702127653,0.0854761904761905,0.0,0.0,0.9500000000000004,0.4504545454545454,0.05405405405405408,10.0,53.0,2.0,2.0
5,girl-scout-cookies,hybrid,0.6,0.4,0.28,"Girl Scout Cookies is an indica-dominant hybrid with a strong sativa component (40:60 sativa/indica ratio). This strain can reach THC levels of up to 28%, meaning it's one of the most potent strains available to medical marijuana patients. This strain provides the best aspects of both sativa and indica, and the high is powerful, happy, and euphoric, but with couch-lock body effects and feelings of lethargy. Girl Scout Cookies tastes sweet and earthy, and it smells much the same. It's most effective at treating anxiety, stress, and depression, though it's also good for appetite. Dry mouth is the only likely adverse effect, though others are possible. This strain began as a crossbreed of OG Kush and a near-even hybrid; (",,,Earthy Vanilla Sweet Pungent Spicy Cherry Lemon Mint Woody Nutty,Cerebral Creative Euphoria Relaxing Cerebral Creative Euphoria Relaxing,,girl-scout-cookies,0.0,0.0,0.0,0.0022222222222222227,,0.0,0.010382352941176476,0.2229261363636364,0.00032352941176470585,0.0002647058823529412,0.0007647058823529412,5.882352941176471e-05,0.7755251396648043,0.004432432432432433,0.021860335195530725,0.03917647058823531,1.092882681564246,0.41421229050279335,0.0,0.8754581005586595,0.3020055865921789,0.0,0.012424581005586592,0.1627709497206704,0.0009411764705882351,0.0,20.698231707317067,2.269438775510204,0.014000000000000002,21.258000000000006,0.024117647058823532,0.09161290322580644,0.17040462427745673,0.0976219512195122,0.0,0.0015789473684210526,0.7340000000000004,0.36550724637681176,0.07855345911949672,11.904285714285715,164.0,15.0,19.0
6,white-tahoe-cookies,hybrid,0.7,0.3,,White Tahoe Cookies is an indica dominant hybrid strain created through crossing,"White Tahoe Cookies is an indica-dominant strain created by Kush4Breakfast and distributed by Archive Seed Bank. This strain is a blend of The White, Tahoe OG, and an unknown Girl Scout Cookies cut, and exemplifies attributes of each in trichome coverage, effect, and aroma. The GSC bouquet has been enhanced through this cross, offering up sweeter, hashier notes with distant OG undertones. Its sedative effects pile on with each hit, weighing the consumer to their seat while alleviating minor pain and anxiety.",,Earthy Citrus Sweet Spicy Hash Herbal Fruity Nutty Spicy/Herbal Citrus Tree Fruit,"Aroused Creative Euphoria Happy Relaxing Sleepy Aroused Creative Euphoria Happy Relaxing Sleepy Aroused,Sleepy,Uplifted,Creative,Euphoric",4.7,white-tahoe-cookies,,,,,,0.0,0.014,0.005,0.0,0.002,0.0025,0.0035,0.3315,0.0015,0.0105,0.09699999999999999,0.2445,0.052500000000000005,0.0,0.6154999999999999,0.5365,,0.0985,0.6034999999999999,0.0,0.0,,0.45,0.0,25.945,0.0,0.0,0.04,0.0,0.0,0.0,1.215,0.08,0.0,,0.0,0.0,2.0
7,sour-diesel,hybrid,0.1,0.9,0.26,"Sour Diesel, otherwise known as ""Sour D"" or ""Sour Deez"" is a sativa dominant hybrid strain with a 90:10 sativa/indica ratio. The origin of Sour Diesel is frequently debated within the marijuana community. Some say it's a cross between mass super skunk and 91 Chemdog, while others claim that it's a cross between Mexican sativa and a Chemdog phenotype. Either way, you can undoubtedly look forward to a high like no other. Couch lock and a ""heavy feeling"" aren't a factor when smoking sour diesel. Instead, you can expect an invigorating cerebral high that open up doors of creativity. This strain is commonly used amongst medical patients to relieve anxiety, depression, and chronic fatigue. Although sour diesel consists of some indicia, it's not the best strain for insomnia and other similar ailments because of the stimulating and lively head high that it delivers. Due to the effervescent contained within this strain, many people choose to smoke sour diesel at the beginning of their day for a head start. The potency of this strain is just enough to give you a great high and become your daily toke. The word ""diesel"" in sour diesel didn't come out of absolutely nowhere. This strain has one of the most pungent aromas of any strain, similar to Diesel Gas with a hint of lemon. You can expect a smooth toke with a slight lemon aftertaste. The appearance of sour diesel is composed of dense light green mug covered in orange hairs.","Sour Diesel, sometimes called Sour D, is an invigorating sativa-dominant strain named after its pungent, diesel-like aroma. This fast-acting strain delivers energizing, dreamy cerebral effects that have pushed Sour Diesel to its legendary status. Stress, pain, and depression fade away in long-lasting relief that makes Sour Diesel a top choice among medical patients. This strain took root in the early 90's, and it is believed to have descended from Chemdawg 91 and Super Skunk.",,Citrus Sweet Diesel Candy Dank Skunky Diesel Pungent Earthy,"Creative Energizing Euphoria Happy Uplifting Creative Energizing Euphoria Happy Uplifting Happy,Uplifted,Euphoric,Energetic,Relaxed",4.4,sour-diesel,,,0.0,0.0,,0.0,0.00826666666666667,0.2270094339622641,0.0002,0.0009000000000000002,0.0117,0.0033333333333333327,0.8030654205607476,0.011193548387096776,0.0579252336448598,0.075,1.0948130841121495,0.5235700934579439,0.0,0.4878878504672896,0.3389813084112148,0.0,0.02040186915887851,0.3291028037383177,3.333333333333333e-05,0.0,21.240948275862067,2.494295774647888,0.06411764705882353,21.2436,0.021724137931034487,0.0911111111111111,0.4131092436974789,0.17018181818181818,0.0004,0.0004,0.5509090909090909,0.26609375,0.11226804123711336,11.5,116.0,4.0,26.0
8,banana-og,hybrid,0.7,0.3,0.25,The smell of banana peels and Christmas pine trees is what you get with Banana OG. The taste is also like bananas and some people report a cinnamon taste. This is an Indica dominant cross 70:30 Indica/Sativa hybrid between Banana X,"Banana OG is an indica-dominant cross between OG Kush and Banana. With a smell and flavor of overripe bananas, this hybrid definitely earns its name. Banana OG has tested at over 25% THC and has a reputation as a “creeper,” leaving those who over-imbibe in a near comatose state before intense hunger and sleepiness sets in. Patients treating muscular pain, loss of appetite, and insomnia may benefit from Banana OG.",,Sweet Tropical Fruity Skunky Woody Tropical Earthy Sweet,"Body High Euphoria Happy Relaxing Sleepy Body High Euphoria Happy Relaxing Sleepy Relaxed,Happy,Hungry,Euphoric,Sleepy",4.4,banana-og,0.0,0.0,0.0,0.0,,0.0,0.0188,0.1367142857142857,0.0,0.0,0.0,0.0,0.07027272727272728,0.018444444444444444,0.02336363636363636,0.01,0.2675454545454545,0.2004545454545455,0.0,0.6226363636363637,0.2741818181818182,0.0,0.09736363636363636,0.4480000000000001,0.002,0.0,30.96222222222222,4.625714285714285,0.005,20.145,0.022000000000000002,0.11285714285714285,0.21181818181818185,0.19461538461538447,0.0,0.0,0.4985714285714286,0.2775,0.13499999999999998,10.993333333333334,9.0,3.0,2.0
9,godfather-og-kush,hybrid,0.5,0.5,0.25,"Godfather OG Kush, also known as “Godfather OG,” is often called the “Don” of all of the OG strains due to its powerful effects and powerful THC level of 22-28% on average. This bud is created through a cross of the potent",,,Earthy Pungent Spicy Skunky Pepper Pine,Relaxing Relaxing,,godfather-og,,,,,,0.0,0.0,0.0015,0.006,0.0,0.026000000000000002,0.0,0.0025,0.013000000000000001,0.0,0.024,0.297,0.051,0.0,0.1645,0.25,,0.0035,0.0025,0.001,0.0,11.56,1.26,0.0,13.02,0.0,0.02,0.04,0.035,0.0,0.0,0.275,0.065,0.04,,1.0,0.0,1.0
